date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:44	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2006%20May%202024%2017:22:49%20GMT	https://wpriverthemes.com/HTML/bronx/night-mode	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode.0.delayed	(from )
18:22:44	88366/88366	---M-Z	200	added ('OK')	text/html	etag:%221592e-662f3936-9f9456e320df08cb;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/index.html	(from )
18:22:45	114/114	---M-Z	200	added ('OK')	text/plain	date:Mon,%2006%20May%202024%2017:22:50%20GMT	https://wpriverthemes.com/robots.txt		(from )
18:22:45	288/288	---M--	200	added ('OK')	image/png	etag:%22120-661f4fb6-d8fa6fc318009147;;;%22	https://wpriverthemes.com/HTML/bronx/assets/imgs/favicon.png	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/imgs/favicon.png	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:46	89729/89729	---MCZ	200	added ('OK')	text/css	etag:W/%2215e81-wb0UGHttyzbvrSHlFxH4lBgB3g8%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	D:/workspace/cv/youness/portfolio/photography-portfolio/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:46	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-6604dd89-92cd656a4263d996;gz%22	https://wpriverthemes.com/HTML/bronx/assets/css/bootstrap.min.css	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:46	56504/56504	---M-Z	200	added ('OK')	text/css	etag:%22dcb8-662e2e2f-4787fff239418c28;gz%22	https://wpriverthemes.com/HTML/bronx/assets/css/style.css	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/css/style.css	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:46	9083/9083	---M-Z	200	added ('OK')	text/css	etag:%22237b-661e63ae-49158dea6fcfdc00;gz%22	https://wpriverthemes.com/HTML/bronx/assets/css/dark-mode.css	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/css/dark-mode.css	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:47	12061/12061	---M-Z	200	added ('OK')	text/css	etag:%222f1d-663060cd-2840f92c52fe1140;gz%22	https://wpriverthemes.com/HTML/bronx/assets/css/responsive.css	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/css/responsive.css	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:47	88366/88366	---M-Z	200	added ('OK')	text/html	etag:%221592e-662f3936-9f9456e320df08cb;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/index.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/index-2.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:47	13682/13682	---M-Z	200	added ('OK')	text/html	etag:%223572-662f3965-7628d266b41a0504;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/contact.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/contact.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:47	17953/17953	---M-Z	200	added ('OK')	text/html	etag:%224621-662f39c5-9ee6226d7ee41b62;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/work.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/work.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:48	14094/14094	---M-Z	200	added ('OK')	text/html	etag:%22370e-662f3973-5bff7a26302ee463;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/photography.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/photography.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:49	48129/48129	---M-Z	200	added ('OK')	text/html	etag:%22bc01-662fa9c8-d80eb2c5f4d2c54e;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/pricing.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/pricing.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:49	18248/18248	---M-Z	200	added ('OK')	text/html	etag:%224748-662f39be-d380739bc9fbcedb;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/work-detail.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/work-detail.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:50	18552/18552	---M-Z	200	added ('OK')	text/html	etag:%224878-662f3985-ffaffe4aa3e69d91;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/work-detail-1.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/work-detail-1.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:50	787334/787334	---M--	200	added ('OK')	image/png	etag:%22c0386-661de86e-1173a8660b6b776;;;%22	https://wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/hero-full.png	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/hero-full.png	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:50	1768171/1768171	---M--	200	added ('OK')	image/gif	etag:%221afaeb-661b98d2-635224779c9cc680;;;%22	https://wpriverthemes.com/HTML/bronx/assets/imgs/loader-2.gif	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/imgs/loader-2.gif	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:51	18554/18554	---M-Z	200	added ('OK')	text/html	etag:%22487a-662f398e-10ce988d34e6a3a5;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/work-detail-2.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/work-detail-2.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:51	191418/191418	---M--	200	added ('OK')	image/png	etag:%222ebba-661de90a-d40dc3cc611ef7e0;;;%22	https://wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-2.png	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-2.png	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:51	18477/18477	---M-Z	200	added ('OK')	text/html	etag:%22482d-662f3999-5018a76b42c0ca06;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/work-detail-3.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/work-detail-3.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:51	280026/280026	---M--	200	added ('OK')	image/png	etag:%22445da-661de91a-d2b5cf0eb9593a6a;;;%22	https://wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-3.png	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-3.png	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:52	18529/18529	---M-Z	200	added ('OK')	text/html	etag:%224861-662f39a0-2534c556629bb082;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/work-detail-4.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/work-detail-4.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:52	255067/255067	---M--	200	added ('OK')	image/png	etag:%223e45b-661de929-7b9064a3de98feb;;;%22	https://wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-4.png	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-4.png	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:52	144338/144338	---M--	200	added ('OK')	image/png	etag:%22233d2-661de936-60cf125be9fca7ec;;;%22	https://wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-5.png	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/assets/imgs/dark-mode/work-5.png	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
18:22:52	18558/18558	---M-Z	200	added ('OK')	text/html	etag:%22487e-662f39a8-3f89096e32dc0995;gz%22	https://wpriverthemes.com/HTML/bronx/night-mode/work-detail-5.html	D:/workspace/cv/youness/portfolio/photography-portfolio/wpriverthemes.com/HTML/bronx/night-mode/work-detail-5.html	(from https://wpriverthemes.com/HTML/bronx/night-mode/)
